SECTOR,SIZE,COVERAGE,COUNTRY,POSITION,EXPERIENCE,SEX,LABOR-RIGHTS,SOCIAL-SECURITY,SOCIAL-RESPONSABILITY,INCLUSION,RESILIENCE-SUPPLY-CHAIN
Servicios,Grande,Nacional,Chile,Ejecutivo,'0-5',Female,0.724,0.813,-2.211,0.258,1.155
Comercio,Grande,Global,Chile,Gerente,'11-20',Male,-0.219,-0.215,0.013,0.399,1.002
Servicios,Small,Local/regional,Chile,Gerente,'11-20',Male,-0.743,-0.679,-0.773,-0.777,0.254
Industria,Grande,LATAM,Chile,Ejecutivo,'>20',Female,-0.928,0.591,-0.958,-1.042,-0.655
Industria,Micro,Nacional,Chile,Gerente,'>20',Male,-1.279,-1.234,-0.302,-0.704,-0.775
Servicios,Small,Local/regional,Chile,Gerente,'>20',Male,-0.825,0.813,-1.137,-0.642,-1.984
Servicios,Grande,Nacional,Chile,Gerente,'11-20',Male,-0.404,-0.835,-1.044,-0.668,-0.342
Comercio,Grande,Local/regional,Chile,Gerente,'>20',Male,0.571,0.239,0.63,0.54,0.706
Servicios,Grande,Global,Chile,Ejecutivo,'0-5',Male,-0.37,-0.493,-0.686,-0.49,-0.188
Industria,Grande,Global,Chile,Ejecutivo,'0-5',Female,-2.022,-0.169,-0.242,-2.285,-1.676
Servicios,Small,LATAM,Chile,Directivo,'>20',Male,-1.062,-0.437,-0.049,-0.443,-0.804
Industria,Grande,LATAM,Chile,Gerente,'>20',Male,0.724,0.017,0.142,0.332,-0.038
Industria,Grande,Global,Chile,Gerente,'11-20',Male,0.875,0.813,0.393,0.52,0.872
Industria,Mediana,Nacional,Chile,Gerente,'>20',Male,0.574,-0.16,-0.681,-1.958,-2.146
Industria,Grande,Global,Chile,Gerente,'11-20',Male,0.875,0.813,1.391,0.847,-0.212
Servicios,Micro,Nacional,Chile,Gerente,'>20',Male,-0.333,0.007,-1.278,-0.527,-0.645
Servicios,Micro,LATAM,Chile,Directivo,'>20',Male,-0.354,0.536,0.822,0.399,0.255
Servicios,Grande,Nacional,Chile,Directivo,'0-5',Male,0.875,0.349,-0.706,-0.21,-0.645
Servicios,Grande,Nacional,Chile,Ejecutivo,'0-5',Male,-0.367,0.813,0.179,0.593,0.706
Servicios,Small,Nacional,Chile,Ejecutivo,'06-10',Male,-0.097,0.813,-1.165,-0.445,0.274
Comercio,Grande,Nacional,Chile,Ejecutivo,'06-10',Male,0.724,0.581,0.227,1.129,-0.635
Servicios,Grande,Nacional,Chile,Ejecutivo,'11-20',Male,0.389,0.359,1.075,0.54,1.155
Servicios,Grande,Nacional,Chile,Ejecutivo,'0-5',Male,-0.367,0.813,0.179,0.593,0.706
Servicios,Grande,Nacional,Chile,Ejecutivo,'0-5',Male,-0.367,0.813,0.179,0.593,0.706
Servicios,Micro,Local/regional,Chile,Gerente,'11-20',Male,1.21,0.813,1.053,1.326,0.866
Servicios,Grande,Global,Chile,Gerente,'11-20',Male,1.21,0.813,-0.643,0.706,1.155
Industria,Mediana,Nacional,Chile,Gerente,'06-10',Female,-0.216,0.813,-0.469,-0.257,-0.175
Industria,Mediana,Nacional,Chile,Gerente,'06-10',Female,-0.216,0.813,-0.469,-0.257,-0.175
Industria,Grande,Global,Chile,Gerente,'06-10',Female,-0.586,0.239,-1.076,-2.332,-0.364
Servicios,Grande,Global,Chile,Gerente,'0-5',Male,0.116,-0.261,0.098,-0.245,0.414
Industria,Grande,Local/regional,Chile,Gerente,'06-10',Male,0.298,-0.076,-0.299,-2.125,0.388
Industria,Grande,Global,Chile,Directivo,'11-20',Male,0.204,0.591,1.075,0.072,-0.804
Comercio,Micro,LATAM,Chile,Gerente,'0-5',Male,-1.445,-1.299,-1.047,-1.14,-1.999
Comercio,Small,Local/regional,Chile,Gerente,'11-20',Female,1.21,0.813,-0.691,0.48,0.554
Servicios,Grande,Local/regional,Chile,Otro,'06-10',Male,0.724,0.591,0.142,0.106,0.095
Industria,Grande,LATAM,Chile,Gerente,'06-10',Male,-0.169,-0.428,0.142,-0.313,0.137
Comercio,Grande,Global,Chile,Gerente,'>20',Male,1.21,0.813,0.91,1.326,1.155
Industria,Grande,Global,Chile,Gerente,'11-20',Male,-0.182,-0.437,-0.369,-0.734,-0.053
Comercio,Grande,Nacional,Chile,Gerente,'0-5',Male,1.21,0.813,-0.24,0.903,0.106
Comercio,Grande,Global,Chile,Gerente,'11-20',Male,1.21,0.239,1.289,-0.104,0.255
Comercio,Micro,Nacional,Chile,Directivo,'06-10',Male,-1.035,-2.846,-0.43,-1.031,1.155
Industria,Grande,LATAM,Chile,Gerente,'11-20',Male,0.724,0.536,1.264,0.399,-1.842
